,tittle,price,link
0,"Apple 2026
                                        MacBook Neo 13â€³ Laptop with A18 Pro chip: Built for AI and Apple Intelligence,
                                        Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD
                                        Camera; Citrus","â‚¹65,000tk",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2MjI5MDEwMDQzNTkxMTYxOjE3ODE2MzUwNzc6c3BfYXRmOjMwMDk4ODU2Njk0NDIzMjo6MDo6&url=%2FApple-2026-MacBook-Laptop-chip%2Fdp%2FB0GR68779Y%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2XES8RUBB5SBD%26dib%3DeyJ2IjoiMSJ9.aIMyFFGZnd7L19zli6CMZ4d2KVhntpavR9iMXZjc8vXzB7iPMokMisrlAL1Y-EkOR5SXNbVZ66jG1kFn3uiSI-k_iko6auz5VdodeqAs1M6OVjhfnAcLJMdHINbXC4fU2rjSDv7hbEcjF63ht-zjmiUSer0FJ9tuSsAk0ybuFVpYJiukEWgWLnrGbyT1CX5aztrUznI-zejh9fCx7blJ2XCiffNocsBSuxwQOMYYQLg.t7XOylRhsZMFFCSoas1uxt8qzMqNfeuszFjCCi781Ag%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1781635077%26sprefix%3Dlaptop%252Caps%252C294%26sr%3D8-1-spons%26xpid%3DDlNNJmH6ckBXM%26aref%3Daek05Hz00c%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=aek05Hz00c&sp_cr=ZAZ
1,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Silver","â‚¹98,990tk",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2MjI5MDEwMDQzNTkxMTYxOjE3ODE2MzUwNzc6c3BfYXRmOjMwMDQ5OTQ1MzM0NzczMjo6MDo6&url=%2FApple-MacBook-13-inch-10-core-Unified%2Fdp%2FB0DZDX3JF4%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2XES8RUBB5SBD%26dib%3DeyJ2IjoiMSJ9.aIMyFFGZnd7L19zli6CMZ4d2KVhntpavR9iMXZjc8vXzB7iPMokMisrlAL1Y-EkOR5SXNbVZ66jG1kFn3uiSI-k_iko6auz5VdodeqAs1M6OVjhfnAcLJMdHINbXC4fU2rjSDv7hbEcjF63ht-zjmiUSer0FJ9tuSsAk0ybuFVpYJiukEWgWLnrGbyT1CX5aztrUznI-zejh9fCx7blJ2XCiffNocsBSuxwQOMYYQLg.t7XOylRhsZMFFCSoas1uxt8qzMqNfeuszFjCCi781Ag%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1781635077%26sprefix%3Dlaptop%252Caps%252C294%26sr%3D8-2-spons%26xpid%3DDlNNJmH6ckBXM%26aref%3D3PwmGseZ5X%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=3PwmGseZ5X&sp_cr=ZAZ
2,"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","â‚¹44,999tk",https://amazon.in//Lenovo-V15-Lifetime-Validity-Warranty/dp/B0CL7CMTXS/ref=sr_1_6?crid=2XES8RUBB5SBD&dib=eyJ2IjoiMSJ9.aIMyFFGZnd7L19zli6CMZ4d2KVhntpavR9iMXZjc8vXzB7iPMokMisrlAL1Y-EkOR5SXNbVZ66jG1kFn3uiSI-k_iko6auz5VdodeqAs1M6OVjhfnAcLJMdHINbXC4fU2rjSDv7hbEcjF63ht-zjmiUSer0FJ9tuSsAk0ybuFVpYJiukEWgWLnrGbyT1CX5aztrUznI-zejh9fCx7blJ2XCiffNocsBSuxwQOMYYQLg.t7XOylRhsZMFFCSoas1uxt8qzMqNfeuszFjCCi781Ag&dib_tag=se&keywords=laptop&qid=1781635077&sprefix=laptop%2Caps%2C294&sr=8-6&xpid=DlNNJmH6ckBXM
3,"Lenovo Yoga Slim 7 Intel Core Ultra 7 155H 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB RAM/1TB SSD/AI PC/2Wx4 Speakers/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.39Kg), 83CV00D3IN","â‚¹1,29,990tk",https://amazon.in//Lenovo-WUXGA-OLED-400Nits-Speakers-83CV00D3IN/dp/B0FK59XW2C/ref=sr_1_63?crid=2XES8RUBB5SBD&dib=eyJ2IjoiMSJ9.QT102d_E_Fs70ppx_vk1cWBGX4PVgag73iOZVPsEf8amC5xMnsVXxv7Sjemsf632mg3ZpdrVxC0zc7Xcv7_dKWHPWE-pz21LXzER4U7lb65XK27mWtjh9kwCYr8MhupAUDdPkE083EJaQV8e1uwYE-O1mwQrLU7RhYvyhYHL9H0kCl-o1xxe8HziWNXuKPZLKOJzgnYnGMW8FG1Y83wpaoLzHEEzSNY2BJLqOL4dqcw.fjZhENflDsxhaf-PHprIcbTILmiwZT8kUwJeZaj7sTk&dib_tag=se&keywords=laptop&qid=1781635085&sprefix=laptop%2Caps%2C294&xpid=DlNNJmH6ckBXM
4,"HP Professional 15 (2026), Intel (i3 14th Gen) Core 3 100U - (8 GB/512 GB SSD/Intel UHD Graphics) Thin & Light Business Laptop/15.6"" Display/Turbo Silver/Copilot Key/1.5kg","â‚¹46,460tk",https://amazon.in//HP-Professional-15-Intel-14th/dp/B0GY7VGHDQ/ref=sr_1_64?crid=2XES8RUBB5SBD&dib=eyJ2IjoiMSJ9.QT102d_E_Fs70ppx_vk1cWBGX4PVgag73iOZVPsEf8amC5xMnsVXxv7Sjemsf632mg3ZpdrVxC0zc7Xcv7_dKWHPWE-pz21LXzER4U7lb65XK27mWtjh9kwCYr8MhupAUDdPkE083EJaQV8e1uwYE-O1mwQrLU7RhYvyhYHL9H0kCl-o1xxe8HziWNXuKPZLKOJzgnYnGMW8FG1Y83wpaoLzHEEzSNY2BJLqOL4dqcw.fjZhENflDsxhaf-PHprIcbTILmiwZT8kUwJeZaj7sTk&dib_tag=se&keywords=laptop&qid=1781635085&sprefix=laptop%2Caps%2C294&xpid=DlNNJmH6ckBXM
5,"HP 15 (2026), Refrbishd AMD Ryzen 5 Hexa Core 7535U - (8 GB DDR5/512 GB SSD/) Thin and Light Business Laptop/15.6"" FHD Display/Turbo Silver/1.5kg","â‚¹47,609tk",https://amazon.in//HP-Refrbishd-Ryzen-Hexa-7535U/dp/B0GSZRGP46/ref=sr_1_65?crid=2XES8RUBB5SBD&dib=eyJ2IjoiMSJ9.QT102d_E_Fs70ppx_vk1cWBGX4PVgag73iOZVPsEf8amC5xMnsVXxv7Sjemsf632mg3ZpdrVxC0zc7Xcv7_dKWHPWE-pz21LXzER4U7lb65XK27mWtjh9kwCYr8MhupAUDdPkE083EJaQV8e1uwYE-O1mwQrLU7RhYvyhYHL9H0kCl-o1xxe8HziWNXuKPZLKOJzgnYnGMW8FG1Y83wpaoLzHEEzSNY2BJLqOL4dqcw.fjZhENflDsxhaf-PHprIcbTILmiwZT8kUwJeZaj7sTk&dib_tag=se&keywords=laptop&qid=1781635085&sprefix=laptop%2Caps%2C294&xpid=DlNNJmH6ckBXM
6,"acer Aspire 3, Intel Core i3-1305U Processor, 16 GB, 512 GB, Full HD IPS, 14.0""/35.56 cm, Windows 11 Home, Steel Gray, 1.45 kg, A324-53, Thin and Light Laptop","â‚¹49,990tk",https://amazon.in//Acer-i3-1305U-Processor-LED-Backlit-A324-53/dp/B0DMFBS37T/ref=sr_1_66?crid=2XES8RUBB5SBD&dib=eyJ2IjoiMSJ9.QT102d_E_Fs70ppx_vk1cWBGX4PVgag73iOZVPsEf8amC5xMnsVXxv7Sjemsf632mg3ZpdrVxC0zc7Xcv7_dKWHPWE-pz21LXzER4U7lb65XK27mWtjh9kwCYr8MhupAUDdPkE083EJaQV8e1uwYE-O1mwQrLU7RhYvyhYHL9H0kCl-o1xxe8HziWNXuKPZLKOJzgnYnGMW8FG1Y83wpaoLzHEEzSNY2BJLqOL4dqcw.fjZhENflDsxhaf-PHprIcbTILmiwZT8kUwJeZaj7sTk&dib_tag=se&keywords=laptop&qid=1781635085&sprefix=laptop%2Caps%2C294&xpid=DlNNJmH6ckBXM
7,"acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","â‚¹49,990tk",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CM6GVR56/ref=sr_1_67?crid=2XES8RUBB5SBD&dib=eyJ2IjoiMSJ9.QT102d_E_Fs70ppx_vk1cWBGX4PVgag73iOZVPsEf8amC5xMnsVXxv7Sjemsf632mg3ZpdrVxC0zc7Xcv7_dKWHPWE-pz21LXzER4U7lb65XK27mWtjh9kwCYr8MhupAUDdPkE083EJaQV8e1uwYE-O1mwQrLU7RhYvyhYHL9H0kCl-o1xxe8HziWNXuKPZLKOJzgnYnGMW8FG1Y83wpaoLzHEEzSNY2BJLqOL4dqcw.fjZhENflDsxhaf-PHprIcbTILmiwZT8kUwJeZaj7sTk&dib_tag=se&keywords=laptop&qid=1781635085&sprefix=laptop%2Caps%2C294&xpid=DlNNJmH6ckBXM
8,"ASUS TUF A16 (2026), AMD Ryzen 7 170 Processor,RTX 4050-6GB, 16GB RAM, 512GB SSD, FHD+, 16""(40 cm), Windows 11 Home, M365 Basic(1 Year)* Office 2024, Mecha Gray, 2.2 Kg, FA607NUQ-RL047WS,Gaming Laptop","â‚¹99,990tk",https://amazon.in//ASUS-Processor-4050-6GB-Windows-FA607NUQ-RL047WS/dp/B0GP7BRZR6/ref=sr_1_68?crid=2XES8RUBB5SBD&dib=eyJ2IjoiMSJ9.QT102d_E_Fs70ppx_vk1cWBGX4PVgag73iOZVPsEf8amC5xMnsVXxv7Sjemsf632mg3ZpdrVxC0zc7Xcv7_dKWHPWE-pz21LXzER4U7lb65XK27mWtjh9kwCYr8MhupAUDdPkE083EJaQV8e1uwYE-O1mwQrLU7RhYvyhYHL9H0kCl-o1xxe8HziWNXuKPZLKOJzgnYnGMW8FG1Y83wpaoLzHEEzSNY2BJLqOL4dqcw.fjZhENflDsxhaf-PHprIcbTILmiwZT8kUwJeZaj7sTk&dib_tag=se&keywords=laptop&qid=1781635085&sprefix=laptop%2Caps%2C294&xpid=DlNNJmH6ckBXM
9,"Apple 2026 MacBook Air 13â€³ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6â€³) Liquid Retina Display, 16GB Unified Memory, 1TB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue","â‚¹1,28,700tk",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NTc0MjUyMjM3NDU1MDMwOjE3ODE2MzUwODU6c3BfYnRmOjMwMDk4ODU2Njk0NjYzMjo6MDo6&url=%2FApple-2026-MacBook-Laptop-chip%2Fdp%2FB0GR1K8S8H%2Fref%3Dsr_1_69_sspa%3Fcrid%3D2XES8RUBB5SBD%26dib%3DeyJ2IjoiMSJ9.QT102d_E_Fs70ppx_vk1cWBGX4PVgag73iOZVPsEf8amC5xMnsVXxv7Sjemsf632mg3ZpdrVxC0zc7Xcv7_dKWHPWE-pz21LXzER4U7lb65XK27mWtjh9kwCYr8MhupAUDdPkE083EJaQV8e1uwYE-O1mwQrLU7RhYvyhYHL9H0kCl-o1xxe8HziWNXuKPZLKOJzgnYnGMW8FG1Y83wpaoLzHEEzSNY2BJLqOL4dqcw.fjZhENflDsxhaf-PHprIcbTILmiwZT8kUwJeZaj7sTk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1781635085%26sprefix%3Dlaptop%252Caps%252C294%26xpid%3DDlNNJmH6ckBXM%26aref%3DnSYOyLgE7R%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=nSYOyLgE7R&sp_cr=ZAZ
